date,price,bedrooms,bathrooms,home sqft,lot sqft,floors,condition,year built,street,city,country
2014-05-02 00:00:00,698000.0,4.0,2.25,2200,11250,1.5,5,1920,1036 4th St,Kirkland,USA
2014-05-02 00:00:00,675000.0,5.0,2.5,2820,67518,2.0,3,1979,23525 SE 32nd Way,Issaquah,USA
2014-05-02 00:00:00,790000.0,3.0,2.5,2600,4750,1.0,4,1951,3314 NW 75th St,Seattle,USA
2014-05-02 00:00:00,382500.0,4.0,1.75,1560,8700,1.0,4,1967,14104 119th Ave NE,Kirkland,USA
2014-05-02 00:00:00,499950.0,4.0,2.5,2860,3345,2.0,3,2004,20120 137th Ave NE,Woodinville,USA
2014-05-02 00:00:00,650000.0,4.0,2.0,1820,5000,1.5,3,1945,7201-7399 55th Ave NE,Seattle,USA
2014-05-02 00:00:00,625000.0,4.0,2.5,2820,8408,2.0,3,2014,17052 4th Ave NE,Shoreline,USA
2014-05-02 00:00:00,400000.0,4.0,2.5,3630,42884,1.5,3,1979,5172-5198 Heather Ave SE,Auburn,USA
2014-05-02 00:00:00,604000.0,3.0,2.5,3240,33151,2.0,3,1995,30822 36th Ct SW,Federal Way,USA
2014-05-02 00:00:00,440000.0,2.0,1.0,800,4850,1.0,4,1944,4801-4899 6th Ave NW,Seattle,USA
2014-05-02 00:00:00,287200.0,3.0,3.0,1850,19966,1.0,4,1992,23017 SE 281st Ct,Maple Valley,USA
2014-05-02 00:00:00,403000.0,3.0,2.0,1960,13100,1.0,5,1957,17825 4th Ave SW,Normandy Park,USA
2014-05-02 00:00:00,750000.0,3.0,2.5,2390,6550,1.0,4,1955,3628 59th Ave SW,Seattle,USA
2014-05-02 00:00:00,335000.0,3.0,2.25,1580,16215,1.0,4,1978,4460 332nd Ave SE,Fall City,USA
2014-05-02 00:00:00,260000.0,4.0,2.0,1480,8625,1.0,4,1974,2019 Aberdeen Pl SE,Renton,USA
2014-05-02 00:00:00,308500.0,2.0,1.0,850,6174,1.0,4,1950,121 NE 147th St,Shoreline,USA
2014-05-02 00:00:00,439950.0,3.0,2.5,1770,2875,2.0,3,1990,4458 51st Ave SW,Seattle,USA
2014-05-02 00:00:00,235000.0,2.0,1.0,1210,9400,1.0,2,1949,7542 21st Ave SW,Seattle,USA
2014-05-02 00:00:00,315000.0,3.0,1.0,1160,9180,1.0,3,1968,15804 198th Pl NE,Woodinville,USA
2014-05-02 00:00:00,437500.0,3.0,2.25,1970,35100,2.0,4,1977,26069 SE 154th St,Issaquah,USA
2014-05-02 00:00:00,407500.0,3.0,2.5,1930,10460,2.0,3,1996,4314 NE 6th Pl,Renton,USA
2014-05-02 00:00:00,445700.0,3.0,2.5,1270,1180,3.0,3,2001,2640 NW 56th St,Seattle,USA
2014-05-02 00:00:00,838000.0,4.0,2.5,3310,42998,2.0,3,2001,15712 NE 136th Pl,Redmond,USA
2014-05-02 00:00:00,630000.0,4.0,2.75,2710,37277,2.0,3,2000,26429 SE 154th Pl,Issaquah,USA
2014-05-02 00:00:00,550000.0,3.0,1.75,2910,35200,1.5,3,1979,3923 229th Pl SE,Sammamish,USA
2014-05-02 00:00:00,805000.0,3.0,2.0,2710,4500,1.5,4,1929,6222 30th Ave NE,Seattle,USA
2014-05-02 00:00:00,284000.0,3.0,1.75,1800,23103,1.0,3,1968,32418 NE 50th St,Carnation,USA
2014-05-02 00:00:00,470000.0,5.0,2.5,2210,9655,1.0,3,1976,19334 89th Ave NE,Bothell,USA
2014-05-02 00:00:00,430000.0,4.0,1.5,1920,10000,1.0,4,1954,4071 156th Ave SE,Bellevue,USA
2014-05-02 00:00:00,491500.0,4.0,1.75,2190,125452,1.0,3,1968,36850 204th Ave SE,Auburn,USA
2014-05-02 00:00:00,785000.0,5.0,3.25,3660,11995,2.0,3,2006,7425 Snowberry Ave SE,Snoqualmie,USA
2014-05-02 00:00:00,385000.0,3.0,3.25,1320,1327,2.0,3,2008,3400 21st Ave W,Seattle,USA
2014-05-02 00:00:00,295000.0,2.0,2.5,1630,1368,2.0,3,2009,5944-6082 Delridge Way SW,Seattle,USA
2014-05-02 00:00:00,555000.0,4.0,2.5,3310,6500,2.0,3,2012,35229 SE Terrace St,Snoqualmie,USA
2014-05-02 00:00:00,459990.0,3.0,2.5,2680,5539,2.0,3,2013,13800 453rd Ave SE,North Bend,USA
2014-05-02 00:00:00,625000.0,4.0,3.25,2730,54014,1.0,3,2007,9927 174th Ave SE,Renton,USA
2014-05-02 00:00:00,300000.0,3.0,2.5,2540,5050,2.0,3,2006,29734 215th Terrace SE,Kent,USA
2014-05-03 00:00:00,625000.0,4.0,2.75,2920,6605,2.0,3,2012,5608 NE 5th Cir,Renton,USA
2014-05-03 00:00:00,553000.0,2.0,1.0,900,5000,1.0,3,1944,8053 29th Ave NW,Seattle,USA
2014-05-03 00:00:00,379880.0,3.0,2.5,1650,14054,1.0,4,1986,13256 242nd Pl SE,Issaquah,USA
2014-05-03 00:00:00,310000.0,3.0,1.0,1010,9945,1.0,4,1973,7528 N Fork Rd SE,Snoqualmie,USA
2014-05-04 00:00:00,775000.0,2.0,2.5,2680,7392,1.0,3,2004,13134 234th Ct NE,Redmond,USA
2014-05-04 00:00:00,365000.0,3.0,2.5,2200,7350,1.0,5,1988,13420 SE 182nd St,Renton,USA
2014-05-04 00:00:00,331950.0,4.0,2.5,2530,9933,2.0,3,1990,925 48th Ct,Auburn,USA
2014-05-04 00:00:00,783500.0,3.0,2.5,2850,7130,2.0,3,1980,151 Euclid Ave,Seattle,USA
2014-05-04 00:00:00,628000.0,4.0,2.0,2280,6010,1.0,3,1900,205-206 Euclid Ave,Seattle,USA
2014-05-05 00:00:00,560000.0,3.0,2.5,1900,8744,2.0,3,1987,22314 NE 11th Pl,Sammamish,USA
2014-05-05 00:00:00,900000.0,3.0,1.0,1330,77972,1.0,3,1928,13615 NE 100th St,Kirkland,USA
2014-05-05 00:00:00,531000.0,2.0,3.0,1270,1175,2.0,3,2000,1411 N 48th St,Seattle,USA
2014-05-05 00:00:00,831000.0,4.0,3.0,2170,4000,2.0,4,1982,120 31st Ave E,Seattle,USA
2014-05-05 00:00:00,780000.0,4.0,2.5,2730,10281,2.0,3,1996,23140 NE 14th Ct,Sammamish,USA
2014-05-05 00:00:00,755000.0,4.0,2.5,2120,10202,1.0,4,1960,12645 SE 27th St,Bellevue,USA
2014-05-05 00:00:00,705380.0,3.0,2.5,2490,4343,2.0,3,2003,3187 NE Larkspur Ln,Issaquah,USA
2014-05-05 00:00:00,627000.0,4.0,2.25,1990,7712,1.0,3,1973,18915 SE 42nd Pl,Issaquah,USA
2014-05-05 00:00:00,865000.0,4.0,3.0,3690,9892,2.0,3,1998,1765 267th Ct SE,Sammamish,USA
2014-05-05 00:00:00,580000.0,2.0,1.0,2540,7000,1.0,5,1942,8624 Island Dr S,Seattle,USA
2014-05-05 00:00:00,410000.0,3.0,2.25,1800,36704,1.0,4,1978,24502 SE Mirrormont Dr,Issaquah,USA
2014-05-05 00:00:00,485000.0,4.0,3.0,2340,7048,1.0,4,1979,14319 85th Pl NE,Kirkland,USA
2014-05-05 00:00:00,400000.0,2.0,1.75,2110,9519,1.0,2,1948,2120 NE 168th St,Shoreline,USA
2014-05-05 00:00:00,549000.0,2.0,1.0,1140,5400,1.0,5,1908,209 30th Ave E,Seattle,USA
2014-05-05 00:00:00,620000.0,3.0,1.75,1480,2185,2.5,3,2005,10512 128th Ave NE,Kirkland,USA
2014-05-05 00:00:00,405000.0,2.0,3.0,1410,1240,2.0,3,2006,9126 45th Ave SW,Seattle,USA
2014-05-05 00:00:00,232000.0,2.0,1.0,1200,8063,1.0,4,1958,20220 8th Ave S,Des Moines,USA
2014-05-05 00:00:00,800866.0,5.0,2.5,3180,13806,2.0,4,1990,11821 NE 48th Pl,Kirkland,USA
2014-05-05 00:00:00,650000.0,3.0,1.5,2160,9000,1.0,4,1949,13026 10th Ave NW,Seattle,USA
2014-05-05 00:00:00,823000.0,6.0,1.75,2920,5000,2.5,4,1908,125 29th Ave,Seattle,USA
2014-05-05 00:00:00,770000.0,3.0,2.0,2350,5700,1.5,4,1939,2171 Boyer Ave E,Seattle,USA
2014-05-05 00:00:00,524000.0,3.0,1.75,1560,5520,1.0,4,1944,3434 33rd Ave W,Seattle,USA
2014-05-05 00:00:00,541125.0,5.0,2.75,2740,8426,1.0,4,1960,5211 116th Pl SE,Bellevue,USA
2014-05-05 00:00:00,670000.0,3.0,2.5,1680,2000,3.0,3,1909,3503 NE 44th St,Seattle,USA
2014-05-05 00:00:00,384900.0,5.0,2.5,3090,12750,1.0,3,1968,114 SW 292nd St,Federal Way,USA
2014-05-05 00:00:00,406100.0,3.0,2.25,1410,1332,3.0,3,2005,8536 Interlake Ave N,Seattle,USA
2014-05-05 00:00:00,1395000.0,5.0,3.5,4010,8510,2.0,5,1971,3930 NE Belvoir Pl,Seattle,USA
2014-05-05 00:00:00,736500.0,4.0,2.5,3180,21904,2.0,3,2000,17132 SE 100th St,Renton,USA
2014-05-05 00:00:00,570000.0,3.0,2.25,2010,6000,1.0,3,1975,10204 168th Pl NE,Redmond,USA
2014-05-05 00:00:00,787000.0,3.0,1.75,1330,7500,1.0,3,1961,218 109th Ave SE,Bellevue,USA
2014-05-05 00:00:00,328000.0,4.0,2.5,2370,6500,2.0,3,1998,12621 SE 300th Way,Auburn,USA
2014-05-05 00:00:00,435000.0,5.0,2.0,1840,9240,1.0,4,1942,14013 Ashworth Ave N,Seattle,USA
2014-05-05 00:00:00,499000.0,4.0,2.5,2910,6479,2.0,3,2006,34010 SE Sorenson St,Snoqualmie,USA
2014-05-05 00:00:00,501000.0,4.0,1.0,2070,7519,1.0,3,1963,2506 166th Ave NE,Bellevue,USA
2014-05-05 00:00:00,1090000.0,4.0,2.5,4340,141570,2.5,3,1992,8814 218th Ave NE,Redmond,USA
2014-05-05 00:00:00,400000.0,2.0,1.0,840,5510,1.0,3,1955,4515 SW Trenton St,Seattle,USA
2014-05-05 00:00:00,220000.0,4.0,1.5,1240,9600,1.0,3,1971,4924 SW 314th Pl,Federal Way,USA
2014-05-05 00:00:00,657100.0,4.0,1.0,1390,4240,1.0,3,1924,4312 Woodlawn Ave N,Seattle,USA
2014-05-05 00:00:00,309950.0,4.0,2.75,2310,5000,2.0,3,2006,22912 SE 268th Pl,Maple Valley,USA
2014-05-05 00:00:00,300000.0,3.0,2.0,1050,10072,1.0,3,1986,27106 NE Miller St,Duvall,USA
2014-05-05 00:00:00,525888.0,5.0,1.75,2550,71874,1.0,5,1960,13129 195th Pl SE,Issaquah,USA
2014-05-05 00:00:00,740000.0,4.0,1.75,2010,3600,1.5,3,1902,1014 W Garfield St,Seattle,USA
2014-05-05 00:00:00,340000.0,5.0,1.0,1120,9022,1.5,4,1962,14150 75th Ave NE,Kirkland,USA
2014-05-05 00:00:00,398750.0,3.0,2.5,2230,4000,2.0,3,1954,2601 21st Ave S,Seattle,USA
2014-05-05 00:00:00,206000.0,2.0,1.0,810,7158,1.0,5,1944,12807 7th Ave S,Burien,USA
2014-05-05 00:00:00,1030000.0,5.0,2.75,3190,16920,1.0,3,1976,4529 135th Ave SE,Bellevue,USA
2014-05-05 00:00:00,600000.0,3.0,1.75,1670,39639,1.0,4,1976,1804 E Beaver Lake Dr SE,Sammamish,USA
2014-05-05 00:00:00,379950.0,4.0,1.75,1970,9389,1.0,5,1960,1701 N 204th Pl,Shoreline,USA
2014-05-05 00:00:00,287000.0,3.0,1.0,1450,6000,1.0,4,1953,8681 Beacon Ave S,Seattle,USA
2014-05-05 00:00:00,2280000.0,7.0,8.0,13540,307752,3.0,3,1999,26408 NE 70th St,Redmond,USA
2014-05-05 00:00:00,309950.0,3.0,2.5,1880,7838,2.0,3,1994,17717 113th Pl SE,Renton,USA
2014-05-05 00:00:00,600000.0,3.0,1.75,1880,6360,1.0,4,1945,8040 39th Ave NE,Seattle,USA
2014-05-05 00:00:00,418000.0,3.0,2.0,1410,6030,1.5,4,1930,901 N 97th St,Seattle,USA
2014-05-05 00:00:00,449250.0,4.0,2.0,1480,3844,1.5,5,1928,519 N 104th St,Seattle,USA
2014-05-05 00:00:00,329950.0,2.0,1.0,1140,5250,1.5,4,1949,14017 Roslyn Pl N,Seattle,USA
2014-05-05 00:00:00,245000.0,3.0,1.75,1920,9306,1.0,3,1984,30001-30021 55th Pl S,Auburn,USA
2014-05-05 00:00:00,549000.0,4.0,2.5,2910,6338,2.0,3,2008,16026 SE 137th Terrace,Renton,USA
2014-05-05 00:00:00,800000.0,3.0,2.5,3240,7857,2.0,3,1994,22721-22727 SE 27th St,Sammamish,USA
2014-05-05 00:00:00,249950.0,3.0,2.0,1550,15040,1.0,4,1958,18027 SE 128th St,Renton,USA
2014-05-05 00:00:00,210000.0,5.0,2.0,2050,10200,1.0,3,1956,20927-20999 2nd Ave S,Des Moines,USA
2014-05-05 00:00:00,1425000.0,2.0,2.5,2220,4000,2.0,3,2000,1857 41st Ave E,Seattle,USA
2014-05-05 00:00:00,585000.0,2.0,1.0,1770,8640,1.5,3,1949,353 NW 88th St,Seattle,USA
2014-05-05 00:00:00,615000.0,4.0,1.75,2300,11700,1.0,4,1977,18427 NE 26th Way,Redmond,USA
2014-05-05 00:00:00,618500.0,3.0,2.0,1800,5000,1.0,4,1942,2803 NE 62nd St,Seattle,USA
2014-05-05 00:00:00,487585.0,4.0,1.75,2010,9211,1.0,3,1977,13313 127th Pl NE,Kirkland,USA
2014-05-05 00:00:00,509900.0,3.0,2.5,1790,2700,2.0,3,2010,4532 185th Ave SE,Issaquah,USA
2014-05-05 00:00:00,631625.0,4.0,2.5,2440,6651,2.0,3,2014,9288-9358 Holman Rd NW,Seattle,USA
2014-05-05 00:00:00,555000.0,3.0,2.5,1940,3211,2.0,3,2009,4509 185th Ave SE,Issaquah,USA
2014-05-05 00:00:00,340000.0,2.0,1.5,1160,1438,2.0,3,2001,1318 29th Ave S,Seattle,USA
2014-05-05 00:00:00,830000.0,4.0,2.5,3400,9692,2.0,3,2007,12001 173rd Pl NE,Redmond,USA
2014-05-05 00:00:00,890000.0,4.0,4.25,4420,5750,2.0,3,2006,842 Summerhill Ridge Dr NW,Issaquah,USA
2014-05-05 00:00:00,366750.0,3.0,3.0,1571,2017,3.0,3,2008,14359 19th Ave NE,Seattle,USA
2014-05-05 00:00:00,415000.0,3.0,2.25,1620,998,2.5,3,2010,935 4th Ave NE,Issaquah,USA
2014-05-05 00:00:00,416286.0,3.0,2.5,1408,989,3.0,3,2005,7809 12th Ave NE,Seattle,USA
2014-05-05 00:00:00,478000.0,3.0,2.5,3040,4535,2.0,3,2007,2027 Ferndale Ave NE,Renton,USA
2014-05-05 00:00:00,890000.0,5.0,3.5,4490,6000,2.0,3,2006,792 Summerhill Ridge Dr NW,Issaquah,USA
2014-05-05 00:00:00,419190.0,2.0,2.5,1590,1426,2.0,3,2014,1273 NE Hickory Ln,Issaquah,USA
2014-05-05 00:00:00,712198.0,4.0,2.5,2450,4247,2.0,3,2013,17122 NE 117th St,Redmond,USA
2014-05-06 00:00:00,397000.0,4.0,2.0,1440,7680,1.0,3,1971,10601 NE 138th Pl,Kirkland,USA
2014-05-06 00:00:00,450000.0,2.0,2.0,1100,3000,1.5,3,1912,412 NW 70th St,Seattle,USA
2014-05-06 00:00:00,353000.0,3.0,1.0,1350,7740,1.0,4,1947,11051 35th Ave NE,Seattle,USA
2014-05-06 00:00:00,609000.0,4.0,2.5,2150,37981,2.0,3,1985,18114 NE 136th St,Redmond,USA
2014-05-06 00:00:00,234000.0,3.0,1.75,1490,8366,1.0,4,1975,25305 151st Pl SE,Covington,USA
2014-05-06 00:00:00,561000.0,3.0,2.0,2000,7000,2.0,3,1916,6422 Marshall Ave SW,Seattle,USA
2014-05-06 00:00:00,469000.0,2.0,1.0,1030,4400,1.0,3,1924,310 NW 72nd St,Seattle,USA
2014-05-06 00:00:00,329350.0,2.0,1.0,720,6687,1.0,3,1942,9712 4th Ave NW,Seattle,USA
2014-05-06 00:00:00,488000.0,5.0,2.0,2020,5000,1.5,4,1938,9020-9024 11th Ave NW,Seattle,USA
2014-05-06 00:00:00,279900.0,3.0,1.75,1580,8151,1.0,4,1962,1629 S 261st Pl,Des Moines,USA
2014-05-06 00:00:00,606000.0,4.0,2.5,2110,13850,2.0,3,1987,2755 NW Pine Cone Dr,Issaquah,USA
2014-05-06 00:00:00,312000.0,4.0,2.0,1300,7054,1.0,3,1950,2815 SW 107th St,Seattle,USA
2014-05-06 00:00:00,650000.0,3.0,1.5,1630,7475,1.0,3,1940,6009 52nd Ave NE,Seattle,USA
2014-05-06 00:00:00,1135000.0,4.0,2.75,3370,8103,1.0,3,1970,3922 SW Henderson St,Seattle,USA
2014-05-06 00:00:00,325000.0,4.0,2.5,1890,6156,1.0,3,1980,5631 17th Ave SW,Seattle,USA
2014-05-06 00:00:00,425000.0,4.0,2.0,1520,7983,1.0,5,1967,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,USA
2014-05-06 00:00:00,219000.0,2.0,1.0,900,5160,1.0,3,1952,8652 17th Ave SW,Seattle,USA
2014-05-06 00:00:00,250000.0,3.0,1.0,1050,6874,1.0,3,1954,18305 Dayton Ave N,Shoreline,USA
2014-05-06 00:00:00,390000.0,3.0,1.75,1260,6500,1.0,4,1966,1415 168th Ave NE,Bellevue,USA
2014-05-06 00:00:00,475000.0,6.0,3.0,3470,117612,1.5,3,1924,19007 80th Ave NE,Kenmore,USA
2014-05-06 00:00:00,736000.0,4.0,2.5,2290,12047,2.0,4,1988,17435 SE 47th St,Bellevue,USA
2014-05-06 00:00:00,407000.0,4.0,2.25,2810,23400,1.0,3,1958,23024-23198 17th Ave S,Des Moines,USA
2014-05-06 00:00:00,272000.0,3.0,2.5,1650,13816,2.0,3,1998,32000-32072 NE 55th St,Carnation,USA
2014-05-06 00:00:00,362000.0,3.0,2.25,1640,14374,1.0,4,1963,17253 Ambaum Blvd S,Burien,USA
2014-05-06 00:00:00,535000.0,3.0,2.5,1850,10109,2.0,3,1991,8409 NE 129th Pl,Kirkland,USA
2014-05-06 00:00:00,284000.0,4.0,2.5,2000,5390,2.0,3,2003,25434 160th Ave SE,Kent,USA
2014-05-06 00:00:00,367500.0,3.0,1.5,1410,9647,1.0,3,1961,18048 3rd Ave NW,Shoreline,USA
2014-05-06 00:00:00,379900.0,4.0,1.75,1500,11600,1.0,4,1955,15007 75th Ave NE,Kenmore,USA
2014-05-06 00:00:00,520000.0,3.0,2.5,2460,54885,2.0,4,1980,5424 NE 10th St,Renton,USA
2014-05-06 00:00:00,175000.0,3.0,1.0,1010,7034,1.0,3,1954,207 NW 5th St,Renton,USA
2014-05-06 00:00:00,460000.0,2.0,2.25,1230,929,2.0,3,2004,100 24th Ave E,Seattle,USA
2014-05-06 00:00:00,345000.0,4.0,2.5,2331,3826,2.0,3,2007,11853 SE 176th Ct,Renton,USA
2014-05-06 00:00:00,455000.0,5.0,2.5,2240,7770,1.0,3,1978,12633 NE 133rd Pl,Kirkland,USA
2014-05-06 00:00:00,610000.0,4.0,3.0,2450,10117,1.0,5,1967,15607 SE 42nd Ct,Bellevue,USA
2014-05-06 00:00:00,563000.0,4.0,3.0,3100,15480,2.0,3,1996,7422 NE 163rd St,Kenmore,USA
2014-05-06 00:00:00,612500.0,4.0,2.0,2060,5000,1.0,3,1949,1708 NW 96th St,Seattle,USA
2014-05-06 00:00:00,218000.0,3.0,1.75,1850,7684,1.0,3,1979,33945 28th Pl SW,Federal Way,USA
2014-05-06 00:00:00,404000.0,4.0,1.75,1840,10720,1.0,3,1958,16020 SE 2nd St,Bellevue,USA
2014-05-06 00:00:00,860000.0,4.0,2.0,3740,32417,2.0,3,2000,24507 NE 77th Pl,Redmond,USA
2014-05-06 00:00:00,136500.0,3.0,1.5,1420,8580,1.0,3,1962,32827 22nd Ave SW,Federal Way,USA
2014-05-06 00:00:00,313950.0,3.0,1.0,1510,6083,1.0,4,1940,415 NE 94th St,Seattle,USA
2014-05-06 00:00:00,575000.0,3.0,1.75,2130,6500,1.0,3,1954,2214 W Halladay St,Seattle,USA
2014-05-06 00:00:00,1225000.0,4.0,2.25,3490,6906,2.0,4,1928,2560 39th Ave W,Seattle,USA
2014-05-06 00:00:00,280000.0,3.0,1.75,1630,11800,1.0,4,1971,12525 458th Ave SE,North Bend,USA
2014-05-06 00:00:00,515000.0,3.0,2.5,1790,7167,2.0,3,1989,920 221st Ave NE,Sammamish,USA
2014-05-06 00:00:00,513000.0,4.0,2.5,2000,5684,2.0,3,1996,9041 NE 160th Pl,Kenmore,USA
2014-05-06 00:00:00,599000.0,4.0,2.25,2260,29930,2.0,4,1977,16022 SE 43rd St,Bellevue,USA
2014-05-06 00:00:00,685000.0,4.0,2.5,3030,7864,2.0,3,1999,24201 SE 1st Pl,Sammamish,USA
2014-05-06 00:00:00,365000.0,3.0,1.5,1310,8160,1.0,3,1950,13714 Ashworth Ave N,Seattle,USA
2014-05-06 00:00:00,762300.0,4.0,2.5,3880,14550,2.0,3,1987,22344 NE 31st St,Sammamish,USA
2014-05-06 00:00:00,1580000.0,4.0,3.25,3760,10920,1.5,5,1950,5650 NE 55th St,Seattle,USA
2014-05-06 00:00:00,562000.0,5.0,2.25,3040,8111,2.0,3,1984,17649 NE 129th Pl,Redmond,USA
2014-05-06 00:00:00,530000.0,5.0,2.5,2910,9636,1.0,4,1964,3250 165th Ave SE,Bellevue,USA
2014-05-06 00:00:00,525000.0,3.0,2.5,2970,11985,1.0,3,1995,21603 NE 29th St,Sammamish,USA
2014-05-06 00:00:00,484000.0,2.0,1.75,1660,6000,1.0,3,1942,4711 University View Pl NE,Seattle,USA
2014-05-06 00:00:00,725126.0,4.0,2.5,3200,12369,2.0,3,1998,14707 SE 84th St,Newcastle,USA
2014-05-06 00:00:00,360000.0,4.0,2.0,2680,18768,1.0,5,1965,31607-31633 44th Ave S,Auburn,USA
2014-05-06 00:00:00,387000.0,3.0,1.0,1230,9568,1.0,5,1962,12116 SE 71st Pl,Newcastle,USA
2014-05-06 00:00:00,483500.0,4.0,2.5,2740,45732,2.0,3,1995,15418 216th Ave NE,Woodinville,USA
2014-05-06 00:00:00,655500.0,4.0,3.5,3380,8330,2.0,3,2000,1703 NW 200th Ln,Shoreline,USA
2014-05-06 00:00:00,345000.0,3.0,1.0,1110,6250,1.0,3,1956,3230 NE 95th St,Seattle,USA
2014-05-06 00:00:00,533000.0,5.0,2.75,1800,3780,1.5,3,1926,7434 Winona Ave N,Seattle,USA
2014-05-06 00:00:00,385000.0,3.0,1.75,1900,5520,1.0,3,1982,5215 32nd Ave S,Seattle,USA
2014-05-06 00:00:00,675000.0,2.0,1.0,930,36478,1.0,3,1951,4206 SE Newport Way,Bellevue,USA
2014-05-06 00:00:00,197000.0,3.0,1.75,1690,7735,1.0,4,1976,30020 43rd Pl S,Auburn,USA
2014-05-06 00:00:00,485000.0,3.0,2.0,1420,4080,1.5,3,1905,720 N 80th St,Seattle,USA
2014-05-06 00:00:00,1870000.0,5.0,4.0,4510,15175,2.0,3,1969,8300 SE 82nd St,Mercer Island,USA
2014-05-06 00:00:00,295000.0,3.0,2.25,1980,8000,1.0,4,1974,31966 36th Ave SW,Federal Way,USA
2014-05-06 00:00:00,499000.0,2.0,1.75,1170,2400,1.0,4,1903,2112 N 50th St,Seattle,USA
2014-05-06 00:00:00,1050000.0,3.0,2.5,2200,1970,2.0,3,2008,2516 Yale Ave E,Seattle,USA
2014-05-06 00:00:00,191000.0,3.0,1.5,800,8850,1.0,4,1959,1003 SW 307th St,Federal Way,USA
2014-05-06 00:00:00,500000.0,3.0,2.5,1480,1171,3.0,3,2006,135 25th Ave E,Seattle,USA
2014-05-06 00:00:00,390000.0,5.0,3.75,2890,5000,1.0,3,2006,3665 Renton Ave S,Seattle,USA
2014-05-06 00:00:00,979000.0,3.0,2.5,2690,4047,3.0,3,2014,7000 23rd Ave NW,Seattle,USA
2014-05-06 00:00:00,580000.0,4.0,3.25,3569,8327,2.0,3,2013,710 S 23rd St,Renton,USA
2014-05-06 00:00:00,369950.0,3.0,2.0,1270,1320,3.0,3,2006,8846 Midvale Ave N,Seattle,USA
2014-05-06 00:00:00,1800000.0,5.0,5.0,4490,10279,2.0,3,2013,1435 104th Ave SE,Bellevue,USA
2014-05-06 00:00:00,776000.0,4.0,2.5,3040,6425,2.0,3,2008,16775 NE 86th Ct,Redmond,USA
